"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Skin_Friction_Coefficient_z","Heat_Flux","Y_Plus","Eddy_Viscosity"
417, 1.040323248281367e+00, 0.000000000000000e+00, -1.096796924992614e-01, 1.086284173406409e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.100043086922017e+05, 0.000000000000000e+00, 8.400172347688068e+04, 2.693860422628647e+02, 0.000000000000000e+00, -8.122649877981953e+00, 1.697309720151198e-05, 2.205372237419396e+01, -5.446389970566117e-04, -4.397067688367281e+01, 5.828898463364027e+02, 4.652272634257789e+00, 0.000000000000000e+00
418, 1.041078088663133e+00, 0.000000000000000e+00, -1.105205368004564e-01, 1.085966687050569e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.099173656837570e+05, 0.000000000000000e+00, 8.396694627350278e+04, 2.693532382654217e+02, 0.000000000000000e+00, -8.134072976119603e+00, 1.697146290276376e-05, 2.181887101114662e+01, -5.454258753848600e-04, -4.390678016004526e+01, 5.891569541114122e+02, 4.643513304280173e+00, 0.000000000000000e+00
419, 1.041830919345777e+00, 0.000000000000000e+00, -1.113631846365924e-01, 1.085640002309718e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.098279092226754e+05, 0.000000000000000e+00, 8.393116368907013e+04, 2.693194708927552e+02, 0.000000000000000e+00, -8.145826306861906e+00, 1.696978051083151e-05, 2.157664276727942e+01, -5.462350873025564e-04, -4.383970958461622e+01, 5.956296051757556e+02, 4.634441933961565e+00, 0.000000000000000e+00
420, 1.042581658623779e+00, 0.000000000000000e+00, -1.122076887985794e-01, 1.085301949813512e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.097353575942707e+05, 0.000000000000000e+00, 8.389414303770826e+04, 2.692845298015494e+02, 0.000000000000000e+00, -8.157986299401593e+00, 1.696803953633365e-05, 2.132538385348114e+01, -5.470724299035717e-04, -4.376885116250989e+01, 6.023064427214156e+02, 4.624991513548685e+00, 0.000000000000000e+00
421, 1.043330218109555e+00, 0.000000000000000e+00, -1.130541293979844e-01, 1.084951215300359e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.096393540492959e+05, 0.000000000000000e+00, 8.385574161971832e+04, 2.692482807644582e+02, 0.000000000000000e+00, -8.170599825611776e+00, 1.696623327991837e-05, 2.106406716291187e+01, -5.479414159883537e-04, -4.369373125123914e+01, 6.092003474574960e+02, 4.615116980488725e+00, 0.000000000000000e+00
422, 1.044076500117725e+00, 0.000000000000000e+00, -1.139025786272291e-01, 1.084587806592447e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.095398957030050e+05, 0.000000000000000e+00, 8.381595828120198e+04, 2.692107155931959e+02, 0.000000000000000e+00, -8.183667264507804e+00, 1.696436132114268e-05, 2.079263054707939e+01, -5.488418427859528e-04, -4.361415801307005e+01, 6.163331444820553e+02, 4.604809734149788e+00, 0.000000000000000e+00
423, 1.044820408143882e+00, 0.000000000000000e+00, -1.147531100574950e-01, 1.084211901104483e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.094370317931830e+05, 0.000000000000000e+00, 8.377481271727318e+04, 2.691718508822805e+02, 0.000000000000000e+00, -8.197182146931798e+00, 1.696242447411094e-05, 2.051113305114598e+01, -5.497732213619519e-04, -4.352996673609219e+01, 6.237052066181526e+02, 4.594065587218650e+00, 0.000000000000000e+00
424, 1.045561844934550e+00, 0.000000000000000e+00, -1.156057964557574e-01, 1.083823692127694e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.093308166928232e+05, 0.000000000000000e+00, 8.373232667712925e+04, 2.691317058437916e+02, 0.000000000000000e+00, -8.211137329031130e+00, 1.696042368316460e-05, 2.021964241156122e+01, -5.507350619846198e-04, -4.344098760398202e+01, 6.313125445331285e+02, 4.582880329607775e+00, 0.000000000000000e+00
425, 1.046300712690587e+00, 0.000000000000000e+00, -1.164607100004891e-01, 1.083423382066369e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.092213073082095e+05, 0.000000000000000e+00, 8.368852292328377e+04, 2.690903006526361e+02, 0.000000000000000e+00, -8.225525334114147e+00, 1.695835994046861e-05, 1.991823139584635e+01, -5.517268558528597e-04, -4.334704525977060e+01, 6.391506840321047e+02, 4.571249582534541e+00, 0.000000000000000e+00
426, 1.047036912721434e+00, 0.000000000000000e+00, -1.173179218618459e-01, 1.083011182234094e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.091085629965006e+05, 0.000000000000000e+00, 8.364342519860021e+04, 2.690476563991896e+02, 0.000000000000000e+00, -8.240338363478449e+00, 1.695623428368948e-05, 1.960697807398076e+01, -5.527480711601295e-04, -4.324795896401444e+01, 6.472149940686579e+02, 4.559168799725040e+00, 0.000000000000000e+00
427, 1.047770345651942e+00, 0.000000000000000e+00, -1.181775024131202e-01, 1.082587312767785e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.089926454571596e+05, 0.000000000000000e+00, 8.359705818286381e+04, 2.690037949790835e+02, 0.000000000000000e+00, -8.255568310675507e+00, 1.695404779054018e-05, 1.928596588642178e+01, -5.537981429331448e-04, -4.314354316985232e+01, 6.555014821017907e+02, 4.546633274761257e+00, 0.000000000000000e+00
